retailer_country,order_method_type,retailer_type,product_line,product_type,product,year,quarter,revenue,quantity,gross_margin
Canada,Web,Department Store,Camping Equipment,Lanterns,Flicker Lantern,2014,Q2 2014,7737.75,225,0.5457982
Brazil,Web,Sports Store,Personal Accessories,Navigation,Trail Master,2012,Q2 2012,7300.0,20,0.35082192
Italy,Web,Eyewear Store,Personal Accessories,Watches,TX,2012,Q3 2012,45328.0,236,0.45697847
Denmark,Web,Department Store,Personal Accessories,Watches,Lux,2012,Q4 2012,17605.6,105,0.47345845
Italy,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Charger,2013,Q2 2013,80633.45,1559,0.56768264
Spain,Web,Department Store,Personal Accessories,Watches,Mountain Man Analog,2012,Q2 2012,3832.0,80,0.3736952
Spain,Web,Outdoors Shop,Personal Accessories,Eyewear,Trendi,2012,Q2 2012,47785.0,950,0.39224443
Sweden,Web,Outdoors Shop,Personal Accessories,Knives,Double Edge,2014,Q1 2014,12248.81,751,0.29920294
France,Web,Department Store,Personal Accessories,Eyewear,Bella,2013,Q3 2013,19777.5,293,0.45781823
China,Web,Sports Store,Personal Accessories,Knives,Bear Survival Edge,2012,Q4 2012,11624.5,134,0.48126801
Austria,Web,Outdoors Shop,Personal Accessories,Eyewear,Zone,2012,Q2 2012,127212.5,4172,0.32077382
Canada,E-mail,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Carabiner,2014,Q1 2014,27376.0,6844,0.51
Italy,Web,Eyewear Store,Personal Accessories,Eyewear,Capri,2012,Q4 2012,13711.4,358,0.33472585
Mexico,Web,Warehouse Store,Personal Accessories,Eyewear,Polar Ice,2013,Q3 2013,2090.0,19,0.54827273
Singapore,Web,Golf Shop,Personal Accessories,Eyewear,Polar Sun,2013,Q2 2013,12213.3,202,0.56749609
Spain,Web,Department Store,Golf Equipment,Irons,Hailstorm Titanium Irons,2014,Q1 2014,225213.9,279,0.45883846
Austria,Web,Golf Shop,Personal Accessories,Eyewear,Polar Sun,2013,Q1 2013,13171.92,213,0.57713454
United Kingdom,Web,Sports Store,Personal Accessories,Eyewear,Dante,2014,Q1 2014,36040.6,820,0.36126369
Mexico,Web,Department Store,Personal Accessories,Binoculars,Seeker 50,2013,Q4 2013,23569.0,185,0.2733124
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Single Flame,2013,Q1 2013,95335.29,1503,0.26880025
Poland,Web,Department Store,Personal Accessories,Knives,Single Edge,2012,Q3 2012,41614.65,3465,0.28726062
Brazil,Web,Sports Store,Camping Equipment,Packs,Canyon Mule Cooler,2014,Q2 2014,74378.04,3364,0.45725916
United States,Web,Golf Shop,Personal Accessories,Watches,Kodiak,2013,Q4 2013,20552.2,154,0.47108047
Italy,Sales visit,Eyewear Store,Personal Accessories,Eyewear,Polar Wave,2012,Q2 2012,2294.88,24,0.56996444
Brazil,Web,Sports Store,Personal Accessories,Knives,Edge Extreme,2012,Q3 2012,17439.05,155,0.28895209
Austria,Web,Sports Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2013,Q1 2013,22882.32,2103,0.4246038
Belgium,Fax,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Single Flame,2014,Q2 2014,33491.04,528,0.26880025
Canada,Web,Outdoors Shop,Personal Accessories,Binoculars,Opera Vision,2013,Q1 2013,1870.0,17,0.54
Australia,Web,Department Store,Personal Accessories,Eyewear,Maximus,2014,Q3 2014,4554.3,51,0.52418813
Finland,Web,Eyewear Store,Personal Accessories,Watches,Venue,2014,Q1 2014,9198.0,126,0.42794521
Switzerland,Web,Eyewear Store,Personal Accessories,Navigation,Glacier GPS Extreme,2013,Q4 2013,46801.94,137,0.48343188
Canada,Mail,Outdoors Shop,Outdoor Protection,Insect Repellents,BugShield Extreme,2012,Q3 2012,13160.0,2000,0.63221884
Switzerland,Web,Outdoors Shop,Outdoor Protection,First Aid,Calamine Relief,2013,Q2 2013,180.0,30,0.52833333
Sweden,Web,Sports Store,Camping Equipment,Packs,Canyon Mule Carryall,2014,Q2 2014,59006.35,845,0.41028211
Belgium,Web,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2013,Q2 2013,92058.13,109,0.50270552
Mexico,Sales visit,Sports Store,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2013,Q1 2013,55165.99,109,0.4511865
Germany,Web,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 100,2013,Q1 2013,215711.15,655,0.30862661
United States,Sales visit,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Pulley,2013,Q4 2013,51006.64,1384,0.5020962
Switzerland,Web,Golf Shop,Personal Accessories,Eyewear,Bella,2012,Q4 2012,4725.0,63,0.41746667
United States,Sales visit,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 200,2012,Q3 2012,80146.29,148,0.31610309
Spain,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Butane,2013,Q1 2013,18272.56,284,0.36851104
Italy,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Pulley,2012,Q4 2012,13195.88,358,0.50217037
United States,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2013,Q4 2013,153514.86,1376,0.5289785
France,Web,Equipment Rental Store,Mountaineering Equipment,Tools,Granite Hammer,2013,Q1 2013,22186.16,292,0.25138194
Singapore,Web,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2013,Q1 2013,14821.03,1456,0.7249314
Singapore,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Kettle,2012,Q3 2012,21951.38,1766,0.58889783
Mexico,Web,Department Store,Camping Equipment,Lanterns,Firefly 2,2013,Q2 2013,15206.94,567,0.37844892
United States,Telephone,Department Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2012,Q3 2012,191880.36,714,0.37984669
Brazil,Web,Sports Store,Golf Equipment,Putters,Blue Steel Putter,2014,Q2 2014,22342.15,265,0.51132724
Poland,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Extreme,2013,Q1 2013,145653.06,576,0.40680958
Netherlands,Web,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2014,Q2 2014,23194.35,243,0.45521215
Germany,Web,Direct Marketing,Outdoor Protection,Insect Repellents,BugShield Lotion Lite,2013,Q1 2013,1981.0,283,0.73142857
Italy,Web,Sports Store,Personal Accessories,Binoculars,Seeker 35,2014,Q2 2014,43913.17,439,0.28831351
United States,Web,Department Store,Golf Equipment,Irons,Hailstorm Titanium Irons,2013,Q3 2013,213468.2,242,0.48883347
France,Sales visit,Department Store,Camping Equipment,Lanterns,Firefly Mapreader,2012,Q2 2012,5713.68,358,0.53007519
Austria,Sales visit,Warehouse Store,Camping Equipment,Lanterns,EverGlow Single,2012,Q3 2012,8360.95,247,0.46706056
Switzerland,Web,Golf Shop,Personal Accessories,Knives,Pocket Gizmo,2013,Q4 2013,5959.8,462,0.59069767
United Kingdom,Web,Sports Store,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2013,Q4 2013,189582.21,157,0.48738334
Switzerland,Web,Outdoors Shop,Personal Accessories,Eyewear,Capri,2014,Q3 2014,28150.5,735,0.35770235
Germany,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Double,2013,Q2 2013,2190.3,42,0.44870566
Spain,Web,Golf Shop,Personal Accessories,Eyewear,Zone,2012,Q4 2012,20923.3,685,0.32364445
Finland,Web,Outdoors Shop,Mountaineering Equipment,Tools,Granite Hammer,2013,Q1 2013,68761.9,905,0.25138194
Japan,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Pad,2013,Q1 2013,16573.44,416,0.50401606
Italy,Web,Department Store,Personal Accessories,Eyewear,Dante,2013,Q1 2013,20653.35,471,0.34875262
United Kingdom,Web,Golf Shop,Personal Accessories,Watches,Mountain Man Combination,2014,Q1 2014,4514.35,47,0.53149401
Italy,Web,Golf Shop,Personal Accessories,Binoculars,Opera Vision,2013,Q3 2013,5830.0,53,0.54390909
United States,Web,Eyewear Store,Personal Accessories,Navigation,Astro Pilot,2014,Q3 2014,25530.0,132,0.37645828
Denmark,Web,Department Store,Personal Accessories,Eyewear,Hawk Eye,2012,Q4 2012,11380.5,281,0.39216379
Canada,E-mail,Outdoors Shop,Mountaineering Equipment,Tools,Granite Hammer,2013,Q4 2013,35102.76,462,0.25138194
Poland,Web,Sports Store,Camping Equipment,Tents,Star Lite,2014,Q1 2014,352323.24,1002,0.28900518
Canada,E-mail,Outdoors Shop,Personal Accessories,Watches,Venue,2013,Q3 2013,3504.0,48,0.4169863
China,Web,Outdoors Shop,Camping Equipment,Tents,Star Gazer 3,2014,Q2 2014,472942.86,669,0.35779557
France,Telephone,Sports Store,Golf Equipment,Golf Accessories,Course Pro Gloves,2012,Q4 2012,3605.33,347,0.7680462
Australia,Web,Eyewear Store,Personal Accessories,Binoculars,Seeker 35,2014,Q1 2014,44013.2,440,0.28831351
France,Web,Golf Shop,Personal Accessories,Eyewear,Zone,2012,Q3 2012,74164.1,2429,0.31868573
United Kingdom,Web,Direct Marketing,Outdoor Protection,First Aid,Aloe Relief,2013,Q2 2013,428.86,82,0.63288719
Spain,Web,Sports Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2012,Q4 2012,9088.2,748,0.45514403
Germany,Mail,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Pulley,2012,Q3 2012,7703.74,209,0.50217037
Sweden,Web,Sports Store,Personal Accessories,Eyewear,Dante,2013,Q3 2013,48788.3,1082,0.37528588
Netherlands,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Chalk Bag,2014,Q2 2014,21114.0,1173,0.52611111
Australia,Web,Eyewear Store,Personal Accessories,Eyewear,Hawk Eye,2014,Q2 2014,17157.0,399,0.43395349
Singapore,Web,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Utensils,2013,Q1 2013,19159.04,1024,0.46552646
Brazil,Web,Department Store,Outdoor Protection,First Aid,Insect Bite Relief,2013,Q2 2013,354.0,59,0.54
Canada,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Pad,2013,Q1 2013,12469.92,313,0.50401606
Germany,E-mail,Sports Store,Camping Equipment,Lanterns,Firefly Mapreader,2012,Q4 2012,6048.84,379,0.53007519
China,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Kerosene,2012,Q3 2012,11780.52,381,0.35316947
Netherlands,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Single Flame,2013,Q4 2013,40912.35,645,0.26880025
Mexico,Web,Department Store,Camping Equipment,Lanterns,Firefly Mapreader,2013,Q2 2013,14364.0,900,0.53007519
Canada,Web,Sports Store,Golf Equipment,Putters,Blue Steel Putter,2013,Q1 2013,38073.15,441,0.5227818
China,Web,Outdoors Shop,Personal Accessories,Watches,Kodiak,2012,Q4 2012,54338.5,440,0.45018725
Spain,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Butane,2012,Q2 2012,10234.1,160,0.36479026
Belgium,Web,Outdoors Shop,Personal Accessories,Navigation,Glacier Basic,2013,Q4 2013,18344.04,572,0.3763642
Italy,Web,Outdoors Shop,Personal Accessories,Eyewear,Capri,2012,Q3 2012,25278.0,660,0.33431719
United States,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Butane,2013,Q2 2013,26485.74,409,0.37258049
Austria,Web,Golf Shop,Personal Accessories,Watches,Mountain Man Analog,2012,Q3 2012,14274.2,298,0.3736952
Singapore,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Belay,2013,Q2 2013,50407.0,758,0.48165414
Japan,Web,Sports Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2013,Q4 2013,142318.4,524,0.38637703
Japan,Web,Sports Store,Camping Equipment,Packs,Canyon Mule Extreme Backpack,2013,Q2 2013,101935.17,233,0.45397609
Switzerland,Sales visit,Sports Store,Personal Accessories,Eyewear,Polar Ice,2013,Q1 2013,2479.4,23,0.5390538
Australia,Web,Department Store,Personal Accessories,Watches,Sam,2013,Q4 2013,3736.7,79,0.402537
United States,Web,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2014,Q1 2014,370339.84,428,0.51345229
Germany,Web,Sports Store,Personal Accessories,Knives,Single Edge,2012,Q4 2012,51931.24,4324,0.28726062
Switzerland,Web,Eyewear Store,Personal Accessories,Watches,TX,2013,Q3 2013,31828.0,159,0.46235767
Japan,Web,Sports Store,Outdoor Protection,First Aid,Insect Bite Relief,2013,Q2 2013,1158.0,193,0.54
Netherlands,Web,Direct Marketing,Camping Equipment,Cooking Gear,TrailChef Water Bag,2013,Q3 2013,21102.46,3371,0.53194888
Mexico,Web,Outdoors Shop,Personal Accessories,Knives,Bear Survival Edge,2012,Q2 2012,17894.2,277,0.37306502
Canada,E-mail,Outdoors Shop,Camping Equipment,Tents,Star Gazer 3,2014,Q2 2014,99678.54,141,0.35779557
Belgium,Web,Department Store,Personal Accessories,Eyewear,Polar Wave,2012,Q4 2012,1625.54,17,0.56996444
United States,Telephone,Outdoors Shop,Personal Accessories,Binoculars,Seeker 35,2012,Q4 2012,25930.14,262,0.28069112
Sweden,Telephone,Outdoors Shop,Personal Accessories,Watches,Mountain Man Digital,2014,Q1 2014,4077.78,98,0.51934631
Denmark,Web,Department Store,Personal Accessories,Binoculars,Seeker Mini,2013,Q3 2013,6421.12,79,0.50787402
Germany,Sales visit,Direct Marketing,Outdoor Protection,First Aid,Aloe Relief,2012,Q4 2012,475.93,91,0.63288719
Sweden,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Cup,2014,Q1 2014,5864.6,1652,0.75492958
France,Web,Warehouse Store,Outdoor Protection,First Aid,Insect Bite Relief,2013,Q3 2013,774.0,129,0.54
Mexico,Sales visit,Direct Marketing,Outdoor Protection,Insect Repellents,BugShield Spray,2013,Q1 2013,5655.41,941,0.69550749
France,Web,Sports Store,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2013,Q2 2013,160601.49,133,0.48738334
Canada,Sales visit,Outdoors Shop,Mountaineering Equipment,Tools,Granite Shovel,2013,Q2 2013,33569.09,571,0.3856098
Singapore,Special,Outdoors Shop,Camping Equipment,Tents,Star Peg,2014,Q2 2014,4466.88,2256,0.49494949
Japan,Web,Golf Shop,Personal Accessories,Watches,Mountain Man Digital,2013,Q1 2013,5658.96,136,0.51934631
Singapore,Web,Warehouse Store,Outdoor Protection,Sunscreen,Sun Blocker,2013,Q1 2013,1065.0,213,0.61
Japan,E-mail,Department Store,Camping Equipment,Tents,Star Gazer 2,2012,Q2 2012,101829.42,186,0.28293788
Singapore,Telephone,Direct Marketing,Camping Equipment,Lanterns,Firefly 4,2012,Q3 2012,6577.8,228,0.37608319
Mexico,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Belay,2013,Q2 2013,67830.0,1020,0.48165414
Canada,Telephone,Outdoors Shop,Outdoor Protection,Sunscreen,Sun Shield,2014,Q3 2014,1584.0,264,0.54
Sweden,Telephone,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Utensils,2013,Q2 2013,10621.8,562,0.47089947
Japan,Web,Equipment Rental Store,Mountaineering Equipment,Tools,Granite Shovel,2014,Q2 2014,13815.65,235,0.3856098
France,Web,Outdoors Shop,Personal Accessories,Eyewear,Dante,2012,Q4 2012,162174.1,3746,0.34859827
Spain,Web,Outdoors Shop,Personal Accessories,Navigation,Sky Pilot,2012,Q3 2012,11098.0,31,0.3353352
Switzerland,Web,Eyewear Store,Personal Accessories,Eyewear,Cat Eye,2014,Q2 2014,38482.7,1172,0.34591856
Brazil,Web,Outdoors Shop,Personal Accessories,Binoculars,Ranger Vision,2014,Q1 2014,45301.2,269,0.5346801
Austria,Sales visit,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Single Flame,2013,Q2 2013,30446.4,480,0.26880025
Finland,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Carabiner,2014,Q2 2014,87970.0,23150,0.48421053
Sweden,Web,Direct Marketing,Outdoor Protection,First Aid,Deluxe Family Relief Kit,2014,Q1 2014,1505.0,43,0.59885714
Spain,Web,Outdoors Shop,Mountaineering Equipment,Safety,Granite Climbing Helmet,2012,Q4 2012,62534.44,899,0.24468085
United States,Web,Sports Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2012,Q4 2012,80557.79,6693,0.44998913
Mexico,Web,Outdoors Shop,Personal Accessories,Knives,Double Edge,2012,Q3 2012,9038.4,560,0.29182156
Denmark,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Lite,2013,Q1 2013,39628.17,463,0.29898353
United States,Web,Sports Store,Outdoor Protection,Insect Repellents,BugShield Extreme,2013,Q2 2013,14323.4,2068,0.65060251
Spain,Web,Golf Shop,Personal Accessories,Eyewear,Zone,2012,Q3 2012,27545.4,900,0.31624808
Denmark,Web,Outdoors Shop,Personal Accessories,Watches,Mountain Man Deluxe,2014,Q2 2014,5810.25,75,0.49657932
Singapore,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Rechargeable Battery,2013,Q3 2013,26050.32,3357,0.59407216
Netherlands,Web,Sports Store,Personal Accessories,Eyewear,Cat Eye,2012,Q3 2012,52179.6,1947,0.31065397
Canada,Sales visit,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness Extreme,2013,Q3 2013,47234.0,452,0.48392344
Brazil,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Lite,2012,Q4 2012,63510.0,750,0.29145017
United Kingdom,Web,Department Store,Camping Equipment,Packs,Canyon Mule Cooler,2013,Q3 2013,40812.48,1332,0.51044386
France,Web,Department Store,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2014,Q2 2014,95180.8,110,0.51345229
Mexico,Sales visit,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 50,2013,Q1 2013,36480.0,240,0.33611842
Finland,Web,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2014,Q2 2014,95060.0,350,0.38637703
Switzerland,Web,Department Store,Personal Accessories,Eyewear,Dante,2012,Q3 2012,53399.75,1223,0.34627746
Canada,Web,Eyewear Store,Personal Accessories,Knives,Pocket Gizmo,2013,Q2 2013,14667.3,1137,0.60642654
Austria,Web,Department Store,Personal Accessories,Knives,Double Edge,2014,Q1 2014,9443.49,579,0.29920294
China,Web,Outdoors Shop,Mountaineering Equipment,Tools,Granite Shovel,2013,Q3 2013,63081.67,1073,0.3856098
Switzerland,Sales visit,Sports Store,Outdoor Protection,Insect Repellents,BugShield Spray,2013,Q3 2013,2476.12,412,0.69550749
Brazil,Web,Department Store,Personal Accessories,Watches,Venue,2014,Q2 2014,13505.0,185,0.43406442
Poland,Web,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2014,Q2 2014,11971.2,1160,0.67054264
Mexico,Web,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Umbrella,2014,Q2 2014,17725.18,1426,0.47948512
Denmark,Web,Department Store,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2012,Q2 2012,22535.55,45,0.44535634
Singapore,Web,Department Store,Personal Accessories,Eyewear,Trendi,2013,Q4 2013,18052.9,358,0.40307319
Belgium,Sales visit,Outdoors Shop,Personal Accessories,Knives,Double Edge,2012,Q4 2012,5529.09,339,0.29920294
United Kingdom,Web,Eyewear Store,Personal Accessories,Watches,Infinity,2012,Q3 2012,11220.0,51,0.472959
Belgium,Web,Eyewear Store,Personal Accessories,Eyewear,Trendi,2014,Q1 2014,17353.5,345,0.41013917
Denmark,Web,Eyewear Store,Personal Accessories,Watches,Infinity,2012,Q4 2012,39597.0,168,0.44465288
France,Web,Outdoors Shop,Personal Accessories,Eyewear,Cat Eye,2013,Q3 2013,165130.25,5255,0.33163821
Canada,Web,Outdoors Shop,Personal Accessories,Binoculars,Ranger Vision,2014,Q1 2014,79725.4,473,0.53336227
Germany,Web,Warehouse Store,Outdoor Protection,Sunscreen,Sun Shelter Stick,2012,Q2 2012,8408.75,1744,0.59349011
Sweden,E-mail,Outdoors Shop,Camping Equipment,Lanterns,Firefly 2,2012,Q2 2012,629.51,23,0.45999269
Sweden,Web,Eyewear Store,Personal Accessories,Eyewear,Polar Sun,2014,Q1 2014,44482.87,739,0.57304239
Australia,Web,Eyewear Store,Personal Accessories,Navigation,Astro Pilot,2014,Q1 2014,12729.0,54,0.37592505
Brazil,Web,Outdoors Shop,Personal Accessories,Eyewear,Polar Sun,2014,Q1 2014,10698.32,173,0.58441138
Austria,Web,Golf Shop,Golf Equipment,Woods,Hailstorm Steel Woods Set,2014,Q2 2014,62152.8,94,0.48336358
Italy,Web,Direct Marketing,Outdoor Protection,Sunscreen,Sun Shelter 30,2013,Q2 2013,4415.0,883,0.63
Austria,Sales visit,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Double Flame,2013,Q3 2013,2200.81,29,0.0117275
Canada,Web,Sports Store,Golf Equipment,Putters,Blue Steel Max Putter,2012,Q3 2012,75216.97,443,0.45933212
Brazil,Web,Sports Store,Personal Accessories,Eyewear,Hawk Eye,2013,Q1 2013,56862.0,1404,0.40592012
China,Web,Sports Store,Camping Equipment,Sleeping Bags,Hibernator,2013,Q4 2013,156786.76,1124,0.38346835
Poland,Sales visit,Golf Shop,Golf Equipment,Putters,Blue Steel Max Putter,2014,Q1 2014,47190.0,369,0.36036872
China,Sales visit,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2013,Q1 2013,74414.08,86,0.51345229
Italy,Web,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 200,2012,Q4 2012,96745.92,179,0.31477575
Brazil,Web,Sports Store,Camping Equipment,Lanterns,EverGlow Double,2012,Q2 2012,1825.25,35,0.44870566
Italy,Web,Eyewear Store,Personal Accessories,Watches,Zodiak,2013,Q3 2013,2409.0,22,0.42429224
Japan,Web,Department Store,Outdoor Protection,Sunscreen,Sun Shield,2012,Q3 2012,12542.28,2145,0.52798056
China,Fax,Golf Shop,Golf Equipment,Woods,Hailstorm Steel Woods Set,2012,Q4 2012,104678.4,160,0.47786745
Italy,Web,Outdoors Shop,Personal Accessories,Eyewear,Capri,2013,Q3 2013,12102.8,316,0.34256205
Germany,Mail,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 100,2012,Q2 2012,47249.7,145,0.30126435
Finland,Web,Department Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2014,Q1 2014,130639.6,481,0.38637703
Poland,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,2013,Q1 2013,37123.24,374,0.3426355
Singapore,Web,Outdoors Shop,Outdoor Protection,First Aid,Compact Relief Kit,2012,Q4 2012,3764.18,167,0.60070985
Canada,Web,Outdoors Shop,Personal Accessories,Eyewear,Hawk Eye,2013,Q2 2013,158922.0,3924,0.41307163
Poland,Web,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2013,Q3 2013,171325.44,198,0.51345229
Austria,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Pad,2014,Q3 2014,14965.92,342,0.50045704
Denmark,Web,Equipment Rental Store,Camping Equipment,Sleeping Bags,Hibernator,2012,Q2 2012,37817.48,274,0.3769019
Finland,Web,Warehouse Store,Camping Equipment,Lanterns,Firefly Lite,2013,Q4 2013,8059.79,557,0.53351762
Finland,Sales visit,Outdoors Shop,Camping Equipment,Tents,Star Dome,2012,Q4 2012,101565.44,166,0.35277197
Australia,Web,Golf Shop,Personal Accessories,Watches,TX,2014,Q1 2014,16889.8,86,0.46409904
Germany,Web,Eyewear Store,Personal Accessories,Navigation,Glacier Deluxe,2013,Q4 2013,8612.28,94,0.42152368
Singapore,Web,Outdoors Shop,Mountaineering Equipment,Tools,Granite Ice,2013,Q3 2013,97356.0,1281,0.48723684
Germany,E-mail,Department Store,Camping Equipment,Sleeping Bags,Hibernator Lite,2012,Q2 2012,32517.12,384,0.29145017
Belgium,Web,Sports Store,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2012,Q3 2012,23399.04,28,0.44955007
Australia,Web,Golf Shop,Personal Accessories,Watches,Lux,2012,Q3 2012,19879.2,114,0.47238923
Italy,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,2013,Q4 2013,312834.96,1242,0.40447832
Italy,Web,Sports Store,Personal Accessories,Knives,Double Edge,2013,Q1 2013,8676.92,532,0.29920294
France,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Cook Set,2012,Q3 2012,18061.92,339,0.34365616
United Kingdom,Web,Eyewear Store,Personal Accessories,Eyewear,Polar Sports,2013,Q1 2013,44402.58,375,0.5027316
Singapore,Web,Outdoors Shop,Personal Accessories,Eyewear,Bella,2012,Q3 2012,13972.5,207,0.44699517
Japan,E-mail,Direct Marketing,Camping Equipment,Lanterns,Firefly 4,2013,Q4 2013,7065.6,240,0.38858696
Finland,Web,Sports Store,Personal Accessories,Watches,Legend,2014,Q1 2014,85836.2,324,0.43394139
Switzerland,Web,Sports Store,Personal Accessories,Watches,TX,2014,Q1 2014,52612.8,269,0.44979321
Austria,Web,Golf Shop,Personal Accessories,Watches,Infinity,2013,Q3 2013,91862.4,389,0.46097838
Germany,Web,Warehouse Store,Personal Accessories,Binoculars,Seeker Mini,2012,Q2 2012,5790.96,72,0.50267313
Poland,Web,Warehouse Store,Outdoor Protection,Sunscreen,Sun Shield,2012,Q4 2012,11901.6,2088,0.51578947
Singapore,Web,Outdoors Shop,Personal Accessories,Eyewear,Dante,2012,Q4 2012,61537.1,1422,0.34781733
France,Web,Eyewear Store,Personal Accessories,Watches,TX,2013,Q4 2013,66049.0,343,0.45459008
Japan,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Pad,2014,Q2 2014,21914.22,818,0.38596491
Brazil,Web,Department Store,Personal Accessories,Binoculars,Seeker Mini,2013,Q4 2013,15252.68,187,0.50959438
Japan,Web,Outdoors Shop,Personal Accessories,Watches,Infinity,2013,Q2 2013,242970.0,1029,0.44997736
Austria,Web,Outdoors Shop,Mountaineering Equipment,Safety,Granite Climbing Helmet,2014,Q3 2014,35642.1,507,0.25263158
Germany,Web,Sports Store,Camping Equipment,Lanterns,Firefly Lite,2014,Q2 2014,19274.85,1305,0.54299255
Italy,Web,Sports Store,Personal Accessories,Knives,Bear Survival Edge,2014,Q2 2014,33493.76,382,0.46395985
Brazil,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Double Flame,2013,Q1 2013,42965.64,298,0.4798169
Switzerland,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,2013,Q4 2013,888.08,17,0.0007657
Spain,Telephone,Department Store,Camping Equipment,Packs,Canyon Mule Climber Backpack,2012,Q2 2012,34752.25,481,0.2733564
Spain,Web,Sports Store,Camping Equipment,Tents,Star Dome,2013,Q1 2013,184268.3,298,0.35958599
Switzerland,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Belay,2013,Q3 2013,48212.5,725,0.48165414
United Kingdom,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2012,Q3 2012,30144.27,273,0.50597079
Sweden,Web,Outdoors Shop,Personal Accessories,Watches,TX,2012,Q3 2012,83652.0,441,0.45162196
Netherlands,Web,Department Store,Personal Accessories,Eyewear,Polar Extreme,2014,Q1 2014,3633.25,25,0.50113535
Canada,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Water Bag,2014,Q3 2014,49973.58,7983,0.51916933
Germany,Web,Eyewear Store,Personal Accessories,Binoculars,Opera Vision,2013,Q1 2013,9790.0,89,0.54
